time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
520,34,1120,-5.059418679999999,18.66,18169,0.13697249999999994,0.0005,4417,2.597846031188965,,
520,35,1124,-5.2503495,18.66,18249,0.13317249999999992,0.0005,4437,2.674203634262085,,
520,35,1128,-5.056637069999999,18.66,18329,0.1293725000000001,0.0005,4457,1.6868622303009033,,
520,35,1132,-7.14190011,18.83,18409,0.1255725000000002,0.0005,4477,2.248548984527588,,
520,35,1136,-6.4517448700000015,18.65,18471,0.12262749999999989,0.0005,4492,2.3999619483947754,,
520,35,1140,-7.3117957,18.97,18551,0.11882750000000009,0.0005,4512,2.8148646354675293,,
519,35,1144,-7.190971270000002,18.97,18631,0.11502750000000017,0.0005,4532,2.4072108268737793,,
519,36,1148,-7.36387957,19.23,18711,0.11122750000000015,0.0005,4552,3.243725538253784,,
519,36,1152,-7.07199034,19.23,18791,0.1074274999999999,0.0005,4572,2.270756244659424,,
519,36,1156,-7.40374951,19.35,18862,0.10405500000000012,0.0005,4590,2.743800640106201,,
519,36,1160,-7.335150550000001,19.35,18942,0.10025499999999987,0.0005,4610,2.961430549621582,,
519,36,1164,-7.733563410000001,19.35,19022,0.09645500000000018,0.0005,4630,3.218343734741211,,
518,36,1168,-7.289587689999999,19.35,19102,0.09265500000000026,0.0005,4650,1.5862343311309814,,
518,36,1172,-7.930215459999999,19.35,19182,0.08885500000000013,0.0005,4670,1.8076486587524414,,
518,37,1176,-8.35929453,19.35,19262,0.08505499999999999,0.0005,4690,2.065586566925049,,
518,37,1180,-8.98713847,19.35,19342,0.08125499999999997,0.0005,4710,2.4991917610168457,,
518,37,1184,-9.136218759999998,19.35,19422,0.07745500000000005,0.0005,4730,3.349175214767456,,
517,37,1188,-9.01587244,19.35,19502,0.07365500000000025,0.0005,4750,2.27854585647583,,
517,37,1192,-9.53294097,19.49,19582,0.06985500000000022,0.0005,4770,2.6147103309631348,,
516,38,1196,-9.776189639999998,19.49,19662,0.06605499999999997,0.0005,4790,2.1182003021240234,,
516,38,1200,-9.502061789999999,19.49,19742,0.06225499999999995,0.0005,4810,2.292039632797241,,
516,38,1204,-8.72474536,19.49,19822,0.058455000000000035,0.0005,4830,2.0192508697509766,,
516,38,1208,-8.911323819999998,19.67,19902,0.05465500000000023,0.0005,4850,5.095286846160889,,
516,38,1212,-8.755677149999999,19.67,19982,0.050855000000000095,0.0005,4870,2.0444676876068115,,
,,,,,20000,0.050047500000000134,0.0005,4874,1.960805892944336,-1.8881999,20.0
512,39,1216,-9.41416882,19.73,20062,0.05,0.0005,4890,2.5171098709106445,,
512,39,1220,-7.625537810000002,19.73,20142,0.05,0.0005,4910,1.8543899059295654,,
512,39,1224,-8.094705900000001,19.73,20222,0.05,0.0005,4930,3.4699795246124268,,
511,39,1228,-8.251730239999999,19.73,20302,0.05,0.0005,4950,3.3520240783691406,,
511,39,1232,-5.868416729999999,19.73,20382,0.05,0.0005,4970,2.530341148376465,,
511,39,1236,-6.14318524,19.91,20462,0.05,0.0005,4990,1.9472531080245972,,
511,40,1240,-5.055581310000001,19.91,20542,0.05,0.0005,5010,1.8673006296157837,,
